rank,player,squad,league,age,control_midfielder_score,defensive_protection,transition_control,possession_security,progressive_value,age_availability,passed_defensive_gate,gate_margin,gate_status,lowest_category,lowest_category_score,availability_note
7,Angelo Stiller,Stuttgart,Bundesliga,25,56.68,8.33,60.71,95.0,78.33,70.0,False,-36.67,Watchlist: below gate,defensive_protection,8.33,High-volume passer
10,Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,54.29,38.75,60.71,66.43,54.17,55.0,False,-6.25,Watchlist: below gate,defensive_protection,38.75,Bundesliga target pool: young two-way controller
12,Aleix García,Bayer Leverkusen,Bundesliga,28,53.21,6.67,55.0,88.57,83.33,56.25,False,-38.33,Watchlist: below gate,defensive_protection,6.67,"Bundesliga target pool: possession controller, lighter duelling profile"
14,Samuele Ricci,AC Milan,Serie A,24,49.23,28.75,61.43,70.0,34.17,52.5,False,-16.25,Watchlist: below gate,defensive_protection,28.75,Serie A target pool: press-resistant possession profile
15,Bruno Guimarães,Newcastle United,Premier League,28,47.92,27.5,44.29,52.14,85.83,53.75,False,-17.5,Watchlist: below gate,defensive_protection,27.5,"Control creator, premium market"
18,Youssouf Fofana,AC Milan,Serie A,27,38.15,36.25,34.64,20.71,67.5,66.25,False,-8.75,Watchlist: below gate,possession_security,20.71,"Serie A target pool: range, carries, and duels"
