rank,player,squad,league,age,control_midfielder_score,defensive_protection,transition_control,possession_security,progressive_value,age_availability,lowest_category,lowest_category_score,availability_note
4,Elliot Anderson,Nottingham Forest,Premier League,23,62.66,42.5,65.0,67.14,80.83,95.0,defensive_protection,42.5,"May 2026 EPL target pool: high-cost controller, availability caveat"
7,Angelo Stiller,Stuttgart,Bundesliga,25,57.68,8.33,60.71,95.0,78.33,90.0,defensive_protection,8.33,High-volume passer
10,Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,55.29,38.75,60.71,66.43,54.17,75.0,defensive_protection,38.75,Bundesliga target pool: young two-way controller
12,Aleix Garcia,Bayer Leverkusen,Bundesliga,28,54.14,6.67,55.0,88.57,83.33,75.0,defensive_protection,6.67,"Bundesliga target pool: possession controller, lighter duelling profile"
14,Samuele Ricci,AC Milan,Serie A,24,50.23,28.75,61.43,70.0,34.17,72.5,defensive_protection,28.75,Serie A target pool: press-resistant possession profile
15,Bruno Guimarães,Newcastle United,Premier League,28,48.86,27.5,44.29,52.14,85.83,72.5,defensive_protection,27.5,"Control creator, premium market"
18,Youssouf Fofana,AC Milan,Serie A,27,39.15,36.25,34.64,20.71,67.5,86.25,possession_security,20.71,"Serie A target pool: range, carries, and duels"
